STATE,CONTAMINANT,MEDIAN_PPT
CT,6:2 FTS,0.0
CT,8:2 FTS,0.0
CT,9Cl-PF3ONS,0.0
CT,ADONA,0.0
CT,HFPO-DA,0.0
CT,NETFOSAA,0.0
CT,NFDHA,0.0
CT,NMEFOSAA,0.0
CT,PFBA,0.0
CT,PFBS,0.0
CT,PFDA,0.0
CT,PFDoA,0.0
CT,PFEESA,0.0
CT,PFHpA,0.0
CT,PFHpS,0.0
CT,PFHxA,0.0
CT,PFHxS,0.0
CT,PFMBA,0.0
CT,PFMPA,0.0
CT,PFNA,0.0
CT,PFOA,0.0
CT,PFOS,0.0
CT,PFPeA,0.0
CT,PFPeS,0.0
CT,PFTA,0.0
CT,PFTrDA,0.0
CT,PFUnA,0.0
DC,11Cl-PF3OUDS,0.0
DC,4:2 FTS,0.0
DC,6:2 FTS,0.0
DC,8:2 FTS,0.0
DC,9Cl-PF3ONS,0.0
DC,ADONA,0.0
DC,HFPO-DA,0.0
DC,NETFOSAA,0.0
DC,NFDHA,0.0
DC,NMEFOSAA,0.0
DC,PFBA,0.0
DC,PFBS,0.0
DC,PFDA,0.0
DC,PFDoA,0.0
DC,PFEESA,0.0
DC,PFHpA,0.0
DC,PFHpS,0.0
DC,PFHxA,0.0
DC,PFHxS,0.0
DC,PFMBA,0.0
DC,PFMPA,0.0
DC,PFNA,0.0
DC,PFOA,0.0
DC,PFOS,0.0
DC,PFPeA,0.0
DC,PFPeS,0.0
DC,PFTA,0.0
DC,PFTrDA,0.0
DC,PFUnA,0.0
DE,11Cl-PF3OUDS,0.0
DE,4:2 FTS,0.0
DE,6:2 FTS,0.0
DE,8:2 FTS,0.0
DE,9Cl-PF3ONS,0.0
DE,ADONA,0.0
DE,HFPO-DA,0.0
DE,NETFOSAA,0.0
DE,NFDHA,0.0
DE,NMEFOSAA,0.0
DE,PFBA,0.0
DE,PFBS,0.0
DE,PFDA,0.0
DE,PFDoA,0.0
DE,PFEESA,0.0
DE,PFHpA,0.0
DE,PFHpS,0.0
DE,PFHxA,0.0
DE,PFHxS,0.0
DE,PFMBA,0.0
DE,PFMPA,0.0
DE,PFNA,0.0
DE,PFOA,0.0
DE,PFOS,0.0
DE,PFPeA,0.0
DE,PFPeS,0.0
DE,PFTA,0.0
DE,PFTrDA,0.0
DE,PFUnA,0.0
FL,11Cl-PF3OUDS,0.0
FL,4:2 FTS,0.0
FL,6:2 FTS,0.0
FL,8:2 FTS,0.0
FL,9Cl-PF3ONS,0.0
FL,ADONA,0.0
FL,HFPO-DA,0.0
FL,NETFOSAA,0.0
FL,NFDHA,0.0
FL,NMEFOSAA,0.0
FL,PFBA,0.0
FL,PFBS,0.0
FL,PFDA,0.0
FL,PFDoA,0.0
FL,PFEESA,0.0
FL,PFHpA,0.0
FL,PFHpS,0.0
FL,PFHxA,0.0
FL,PFHxS,0.0
FL,PFMBA,0.0
FL,PFMPA,0.0
FL,PFNA,0.0
FL,PFOA,0.0
FL,PFOS,0.0
FL,PFPeA,0.0
FL,PFPeS,0.0
FL,PFTA,0.0
FL,PFTrDA,0.0
FL,PFUnA,0.0
GA,11Cl-PF3OUDS,0.0
GA,4:2 FTS,0.0
GA,6:2 FTS,0.0
GA,8:2 FTS,0.0
GA,9Cl-PF3ONS,0.0
GA,ADONA,0.0
GA,HFPO-DA,0.0
GA,NETFOSAA,0.0
GA,NFDHA,0.0
GA,NMEFOSAA,0.0
GA,PFBA,0.0
GA,PFBS,0.0
GA,PFDA,0.0
GA,PFDoA,0.0
GA,PFEESA,0.0
GA,PFHpA,0.0
GA,PFHpS,0.0
GA,PFHxA,0.0
GA,PFHxS,0.0
GA,PFMBA,0.0
GA,PFMPA,0.0
GA,PFNA,0.0
GA,PFOA,0.0
GA,PFOS,0.0
GA,PFPeA,0.0
GA,PFPeS,0.0
GA,PFTA,0.0
GA,PFTrDA,0.0
GA,PFUnA,0.0
GU,11Cl-PF3OUDS,0.0
GU,4:2 FTS,0.0
GU,6:2 FTS,0.0
GU,8:2 FTS,0.0
GU,9Cl-PF3ONS,0.0
GU,ADONA,0.0
GU,HFPO-DA,0.0
GU,NETFOSAA,0.0
GU,NFDHA,0.0
GU,NMEFOSAA,0.0
GU,PFBA,0.0
GU,PFBS,0.0
GU,PFDA,0.0
GU,PFDoA,0.0
GU,PFEESA,0.0
GU,PFHpA,0.0
GU,PFHpS,0.0
GU,PFHxA,0.0
GU,PFHxS,3.4
GU,PFMBA,0.0
GU,PFMPA,0.0
GU,PFNA,0.0
GU,PFOA,0.0
GU,PFOS,0.0
GU,PFPeA,0.0
GU,PFPeS,0.0
GU,PFTA,0.0
GU,PFTrDA,0.0
GU,PFUnA,0.0
HI,11Cl-PF3OUDS,0.0
HI,4:2 FTS,0.0
HI,6:2 FTS,0.0
HI,8:2 FTS,0.0
HI,9Cl-PF3ONS,0.0
HI,ADONA,0.0
HI,HFPO-DA,0.0
HI,NETFOSAA,0.0
HI,NFDHA,0.0
HI,NMEFOSAA,0.0
HI,PFBA,0.0
HI,PFBS,0.0
HI,PFDA,0.0
HI,PFDoA,0.0
HI,PFEESA,0.0
HI,PFHpA,0.0
HI,PFHpS,0.0
HI,PFHxA,0.0
HI,PFHxS,0.0
HI,PFMBA,0.0
HI,PFMPA,0.0
HI,PFNA,0.0
HI,PFOA,0.0
HI,PFOS,0.0
HI,PFPeA,0.0
HI,PFPeS,0.0
HI,PFTA,0.0
HI,PFTrDA,0.0
HI,PFUnA,0.0
IA,11Cl-PF3OUDS,0.0
IA,4:2 FTS,0.0
IA,6:2 FTS,0.0
IA,8:2 FTS,0.0
IA,9Cl-PF3ONS,0.0
IA,ADONA,0.0
IA,HFPO-DA,0.0
IA,NETFOSAA,0.0
IA,NFDHA,0.0
IA,NMEFOSAA,0.0
IA,PFBA,0.0
IA,PFBS,0.0
IA,PFDA,0.0
IA,PFDoA,0.0
IA,PFEESA,0.0
IA,PFHpA,0.0
IA,PFHpS,0.0
IA,PFHxA,0.0
IA,PFHxS,0.0
IA,PFMBA,0.0
IA,PFMPA,0.0
IA,PFNA,0.0
IA,PFOA,0.0
IA,PFOS,0.0
IA,PFPeA,0.0
IA,PFPeS,0.0
IA,PFTA,0.0
IA,PFTrDA,0.0
IA,PFUnA,0.0
ID,11Cl-PF3OUDS,0.0
ID,4:2 FTS,0.0
ID,6:2 FTS,0.0
ID,8:2 FTS,0.0
ID,9Cl-PF3ONS,0.0
ID,ADONA,0.0
ID,HFPO-DA,0.0
ID,NETFOSAA,0.0
ID,NFDHA,0.0
ID,NMEFOSAA,0.0
ID,PFBA,0.0
ID,PFBS,0.0
ID,PFDA,0.0
ID,PFDoA,0.0
ID,PFEESA,0.0
ID,PFHpA,0.0
ID,PFHpS,0.0
ID,PFHxA,0.0
ID,PFHxS,0.0
ID,PFMBA,0.0
